aioli,"[0.053968001157045364, 0.027247000485658646, -1.4763000011444092, 0.3012399971485138, 1.0475000143051147, -0.3109700083732605, 0.9755600094795227, 0.07135199755430222, -0.8169800043106079, 0.8678399920463562, -0.2245199978351593, 0.6421099901199341, 0.9009900093078613, 0.47442999482154846, -0.6241499781608582, -0.686519980430603, 0.2446800023317337, 0.18636000156402588, -0.05816499888896942, 0.14788000285625458, -0.38596001267433167, -0.41192999482154846, 1.12090003490448, 0.15057000517845154, -1.167199969291687, 0.555679976940155, 0.4776900112628937, 0.5600299835205078, 1.2210999727249146, -0.44866999983787537, -0.7390900254249573, 0.9523900151252747, -0.7923499941825867, 0.8074399828910828, 0.10367000102996826, 0.3173600137233734, -1.2064000368118286, 0.2789100110530853, 0.13123999536037445, -0.29736000299453735, 0.6434699892997742, 0.08208300173282623, -0.3338800072669983, -0.18682000041007996, 0.45684999227523804, 0.6266700029373169, 0.30858999490737915, 0.1549600064754486, -0.042034998536109924, 0.21584999561309814]"
ale,"[-0.4636099934577942, 0.6578099727630615, -1.395799994468689, 0.01647000014781952, 0.5685700178146362, 0.4895099997520447, -0.6196900010108948, -0.6320199966430664, 0.3650200068950653, 0.518589973449707, 0.460750013589859, 0.3984000086784363, 0.5877699851989746, -0.3502799868583679, 0.07441499829292297, 0.5069699883460999, 0.47275999188423157, 0.7279000282287598, -0.86940997838974, -1.0490000247955322, 0.005723100155591965, -0.35978999733924866, 0.18344999849796295, 0.5492799878120422, -1.1497999429702759, 0.34946000576019287, -0.5691900253295898, 1.174299955368042, 0.949940025806427, 1.016800045967102, 0.15569999814033508, -0.12109000235795975, -0.266539990901947, 1.7044999599456787, 0.811020016670227, -0.5523499846458435, -0.5349199771881104, -0.567799985408783, -0.047474998980760574, 0.011928999796509743, 0.6984400153160095, 0.5388000011444092, -1.0810999870300293, -0.4327299892902374, 0.15022000670433044, 0.47126999497413635, -0.3256399929523468, -0.49796000123023987, -0.3693599998950958, -0.12578999996185303]"
almond,"[-0.023429999127984047, 0.47051000595092773, -0.4868699908256531, 0.5568600296974182, 0.7929199934005737, 0.9027600288391113, -0.832260012626648, 0.022916000336408615, -0.031996000558137894, 0.09268800169229507, -0.4175100028514862, -0.134770005941391, 1.0537999868392944, -0.5206599831581116, -0.34595999121665955, -0.10608000308275223, 0.2468400001525879, -0.16416999697685242, 0.48973000049591064, -1.017799973487854, -0.3025699853897095, -0.3908799886703491, 1.0547000169754028, -0.15976999700069427, -0.28189000487327576, 0.6503900289535522, -0.26263999938964844, 0.7597399950027466, 0.5928699970245361, -0.20806999504566193, 0.5422300100326538, -0.9427400231361389, -1.0765000581741333, 0.867680013179779, -0.0020502000115811825, -0.21818000078201294, -1.4392999410629272, 0.3334200084209442, 1.4586000442504883, -0.3764300048351288, 0.8709499835968018, 0.25707000494003296, -1.2045999765396118, -0.8896399736404419, 0.7077199816703796, 0.9321500062942505, 0.09864699840545654, -0.5924800038337708, -0.6454399824142456, -0.5333499908447266]"
anise,"[0.2339099943637848, 0.7305600047111511, -0.21115000545978546, 2.066999912261963, 1.0611000061035156, 0.5479999780654907, 1.2072999477386475, 0.7683600187301636, 0.32822999358177185, 1.7348999977111816, 0.7146499752998352, 0.322270005941391, 1.0032000541687012, 0.039709001779556274, -0.07933299988508224, 0.17600999772548676, -0.8941599726676941, 0.1259700059890747, 0.11326999962329865, -0.5499500036239624, -0.7673500180244446, -0.3803200125694275, 1.0987000465393066, 0.4810999929904938, -0.5497099757194519, 0.17215000092983246, 0.307669997215271, 0.4518899917602539, 0.953819990158081, -0.4925200045108795, -0.20276999473571777, -0.19825999438762665, 0.1857299953699112, 0.8783900141716003, 0.6615899801254272, 0.09047400206327438, -1.2573000192642212, 0.23492999374866486, -0.1352899968624115, -0.9477300047874451, 1.677899956703186, 0.38106998801231384, 0.06103900074958801, -0.5912200212478638, 1.7161999940872192, 1.2890000343322754, 0.3338800072669983, -0.39252999424934387, -0.7118200063705444, -0.7775099873542786]"
apple,"[0.5204200148582458, -0.8313999772071838, 0.4996100068092346, 1.2892999649047852, 0.11509999632835388, 0.05752100050449371, -1.3753000497817993, -0.9731299877166748, 0.18345999717712402, 0.47672000527381897, -0.15112000703811646, 0.355320006608963, 0.25911998748779297, -0.7785699963569641, 0.521809995174408, 0.4769499897956848, -1.4250999689102173, 0.8579999804496765, 0.5982099771499634, -1.0902999639511108, 0.33574000000953674, -0.6089100241661072, 0.41741999983787537, 0.2156900018453598, -0.07417000085115433, -0.5821999907493591, -0.45019999146461487, 0.17252999544143677, 0.16448000073432922, -0.38413000106811523, 2.3282999992370605, -0.6668199896812439, -0.5818099975585938, 0.7438899874687195, 0.09501499682664871, -0.4786500036716461, -0.8459100127220154, 0.38703998923301697, 0.2369299978017807, -1.552299976348877, 0.6480200290679932, -0.16520999372005463, -1.4718999862670898, -0.16223999857902527, 0.7985699772834778, 0.9739099740982056, 0.4002699851989746, -0.21911999583244324, -0.3093799948692322, 0.2658100128173828]"
applesauce,"[-0.32512998580932617, -0.029985999688506126, -0.5542600154876709, 0.6140099763870239, -0.016349999234080315, 1.3375999927520752, 0.3438799977302551, 0.17241999506950378, -0.5394999980926514, 0.9930800199508667, -0.27814000844955444, 0.05243200063705444, 0.703000009059906, -0.0927869975566864, 0.536050021648407, 0.14575999975204468, -0.3108600080013275, 0.2744799852371216, 0.8911600112915039, -0.46077001094818115, 0.09704799950122833, 0.0967940017580986, 1.0649000406265259, 0.43981000781059265, 0.2027900069952011, 0.7386000156402588, 0.06856600195169449, 0.6119999885559082, 1.7138999700546265, -0.12029000371694565, -0.3970299959182739, 0.6189799904823303, -1.2670999765396118, 1.381600022315979, 0.1783200055360794, 0.4425100088119507, -0.7126500010490417, 0.9778100252151489, 0.45138999819755554, -0.8189499974250793, 0.6890100240707397, -0.33570998907089233, -0.22753000259399414, -0.11472000181674957, 0.48014000058174133, 1.295199990272522, -0.04956100136041641, 0.12592999637126923, 0.7082300186157227, -0.8110799789428711]"
apricot,"[-0.012039000168442726, 0.533490002155304, -1.187000036239624, 1.5957000255584717, 0.6321200132369995, 0.1832199990749359, -0.002947400091215968, -0.14454999566078186, 0.022568000480532646, 0.9330400228500366, -0.04038500040769577, -0.47475001215934753, 1.5461000204086304, -0.2689799964427948, 0.12342000007629395, -0.12352000176906586, -0.36599001288414, 0.33719000220298767, 0.7499300241470337, -0.7349900007247925, -0.5307599902153015, -0.897819995880127, 0.9601500034332275, -0.07301300019025803, -0.2689700126647949, 1.3379000425338745, -0.05608600005507469, 1.0539000034332275, 0.5629100203514099, -0.9770100116729736, 0.7241299748420715, -0.3201200067996979, -1.2035000324249268, 1.2897000312805176, 0.07102899998426437, 0.2744100093841553, -0.7807999849319458, 0.10402999818325043, 0.5443400144577026, -0.5989199876785278, 0.5117599964141846, -0.313620001077652, -1.274899959564209, -1.0321999788284302, 0.56454998254776, 1.0205999612808228, 0.6769400238990784, -0.46331000328063965, -0.4745500087738037, -1.0520000457763672]"
artichoke,"[1.2727999687194824, 0.4255400002002716, -0.5573899745941162, -0.3796600103378296, 0.7041000127792358, 0.053727999329566956, 0.2379000037908554, 0.2366199940443039, -0.3405799865722656, 0.07812400162220001, -0.5083400011062622, 0.2590700089931488, 1.725600004196167, 0.6536999940872192, -0.3243899941444397, 0.9165899753570557, 0.5964400172233582, -0.22431999444961548, 0.20964999496936798, 1.3213000297546387, 0.21296000480651855, -0.8835600018501282, 1.0729999542236328, 0.13496999442577362, -0.7442100048065186, 0.6887900233268738, -0.17385999858379364, 1.144700050354004, 0.15487000346183777, -0.8299099802970886, 0.397350013256073, 0.8417400121688843, 0.3324199914932251, 0.9818400144577026, -0.5656200051307678, 0.9927399754524231, -0.4972800016403198, 0.06458999961614609, 1.659999966621399, -1.29830002784729, 0.23860999941825867, -0.06082500144839287, -0.6761299967765808, -0.7161099910736084, 0.6410800218582153, 1.4549000263214111, 0.511389970779419, 0.2296299934387207, 0.3880099952220917, -0.20175999402999878]"
arugula,"[0.46428000926971436, 0.13051000237464905, -0.5607200264930725, -0.12228000164031982, 1.273900032043457, 1.1378999948501587, 0.5072699785232544, 0.0006052500102669001, -1.2542999982833862, -0.9936400055885315, -1.169700026512146, 0.4046599864959717, 0.9550399780273438, 0.513189971446991, 0.05695300176739693, -0.6409100294113159, -0.15986000001430511, 0.45072999596595764, 0.08013699948787689, -0.8972700238227844, -0.26218000054359436, -0.8120599985122681, 1.347100019454956, -0.10453999787569046, -0.26177000999450684, 0.6612100005149841, 0.2408899962902069, 1.201799988746643, 0.6621800065040588, -0.025894999504089355, -0.17263999581336975, 1.2151999473571777, -0.13832999765872955, 1.0820000171661377, 0.42114999890327454, 0.9826800227165222, -1.0787999629974365, 0.7200800180435181, 1.5082999467849731, -1.079800009727478, -0.21145999431610107, -0.13455000519752502, 0.019200999289751053, -0.2593599855899811, 1.7949999570846558, 1.1727999448776245, 0.486160010099411, 0.45333999395370483, 1.6670000553131104, 0.04272500053048134]"
asafoetida,"[-0.3799299895763397, -0.1125900000333786, 0.2402999997138977, 0.3810099959373474, 0.2448199987411499, -0.044105999171733856, 1.1589000225067139, -0.35141000151634216, 0.4154599905014038, -0.318450003862381, -0.21910999715328217, 0.01582000032067299, 0.5599700212478638, 0.018597999587655067, -0.5493000149726868, 0.08502999693155289, -0.23183999955654144, -0.0206300001591444, 0.7713199853897095, -0.1406800001859665, -0.18482999503612518, -0.22156000137329102, 0.6851300001144409, 0.17222000658512115, -0.23372000455856323, 0.9400100111961365, 0.24280999600887299, 0.34852999448776245, 0.4529600143432617, 0.08500800281763077, -1.2719000577926636, -0.65802001953125, 0.24005000293254852, 0.015437999740242958, -0.09046799689531326, 0.41018998622894287, -0.4046899974346161, 0.27327999472618103, 0.2569800019264221, 0.38300999999046326, 0.7841100096702576, 0.011075999587774277, 0.44854000210762024, 0.2799600064754486, 1.1328999996185303, -0.11962000280618668, 0.5995299816131592, -0.3320100009441376, 0.30816999077796936, 0.35701000690460205]"
